Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	к-ть переможців в категорії 5х5	приз в категорії 5х5	к-ть переможців в категорії 4х5	приз в категорії 4х5	к-ть переможців в категорії 3х5	приз в категорії 3х5	к-ть переможців в категорії 2х5	приз в категорії 2х5
2071	2020-06-12	Б	4	10	34	41	23	5	0	649000	0	0	118	152	1129	15
2070	2020-06-11	Б	4	16	35	8	37	5	0	632000	2	9231	87	200	1202	15
2069	2020-06-10	Б	1	18	22	30	35	44	0	615000	1	18390	54	321	899	15
2068	2020-06-09	Б	1	7	31	20	9	5	0	600000	2	8553	128	126	1356	15
2067	2020-06-08	А	1	19	32	44	9	43	0	583000	1	17438	50	329	863	15
2066	2020-06-07	А	2	33	44	26	28	12	0	567000	1	17442	55	299	881	15
2065	2020-06-06	А	3	45	33	41	42	11	0	550000	1	18273	44	392	830	15
2064	2020-06-05	Б	3	13	11	39	32	27	0	529000	1	17116	80	202	1082	15
2063	2020-06-04	Б	3	9	1	39	20	6	0	513000	1	17604	76	218	991	15
2062	2020-06-03	А	1	15	18	22	8	26	0	500000	3	4524	81	158	925	15
2061	2020-06-02	А	2	9	24	35	28	1	1	2975000	12	2982	134	252	2089	15
2060	2020-06-01	А	2	4	6	24	33	22	0	2960000	3	10849	135	227	1785	15
2059	2020-05-31	А	4	15	31	32	42	34	0	2944000	2	17074	94	343	1500	15
2058	2020-05-30	А	2	29	6	10	2	32	0	2929000	4	7906	170	175	1799	15

