Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	к-ть переможців в категорії 5х5	приз в категорії 5х5	к-ть переможців в категорії 4х5	приз в категорії 4х5	к-ть переможців в категорії 3х5	приз в категорії 3х5	к-ть переможців в категорії 2х5	приз в категорії 2х5
2057	2020-05-29	Б	4	32	3	36	15	45	0	2913000	0	0	130	240	1740	15
2056	2020-05-28	Б	2	32	17	13	20	28	0	2897000	1	34254	164	197	1899	15
2055	2020-05-27	А	2	15	8	43	38	2	0	2883000	3	9574	155	175	1879	15
2054	2020-05-26	А	4	32	33	17	26	1	0	2869000	4	7621	111	259	1688	15
2053	2020-05-25	Б	3	42	16	34	36	5	0	2855000	7	4118	133	204	1394	15
2052	2020-05-24	А	4	13	9	16	36	18	0	2841000	3	8923	101	250	1636	15
2051	2020-05-23	Б	3	19	1	35	18	39	0	2827000	0	0	107	256	1557	15
2050	2020-05-22	А	1	12	6	43	40	42	0	2812000	1	32706	94	328	1453	15
2049	2020-05-21	Б	3	8	43	34	12	42	0	2796000	6	5553	143	220	1675	15
2048	2020-05-20	А	4	12	18	41	40	39	0	2782000	11	2623	155	175	1759	15
2047	2020-05-19	А	1	13	38	2	33	29	0	2769000	3	9192	128	203	1678	15
2046	2020-05-18	Б	4	24	4	37	35	43	0	2755000	1	28771	99	274	1407	15
2045	2020-05-17	Б	2	24	25	35	26	29	0	2740000	5	6126	110	262	1427	15
2044	2020-05-16	А	4	43	36	39	42	33	0	2725000	1	31575	112	266	1637	15
2043	2020-05-15	Б	1	9	20	45	10	34	0	2710000	8	3876	177	165	1751	15
2042	2020-05-14	Б	1	2	29	18	39	5	0	2697000	9	3130	166	160	1881	15
2041	2020-05-13	А	1	40	24	13	16	11	0	2684000	9	2908	116	213	1566	15
2040	2020-05-12	Б	2	25	9	12	15	26	0	2672000	7	3732	107	230	1616	15
2039	2020-05-11	А	4	12	33	41	27	34	0	2661000	5	4669	140	157	1444	15
2038	2020-05-10	А	4	10	1	4	2	40	0	2650000	9	2547	187	115	1357	15
2037	2020-05-09	А	3	2	40	26	44	1	0	2639000	1	22503	65	326	1072	15
2036	2020-05-08	А	3	1	32	15	14	45	0	2627000	2	12240	103	224	1280	15
2035	2020-05-07	Б	2	7	10	26	4	43	0	2615000	3	8494	108	222	1414	15
2034	2020-05-06	Б	2	26	10	24	27	42	0	2603000	5	5120	119	203	1561	15
2033	2020-05-05	Б	3	25	31	44	24	43	0	2590000	1	26145	104	237	1432	15
2032	2020-05-04	А	1	20	30	2	11	28	0	2579000	2	11715	82	269	1218	15
2031	2020-05-03	А	1	16	19	4	45	13	0	2569000	2	10739	114	177	1347	15
2030	2020-05-02	Б	2	15	4	37	8	25	0	2559000	3	7100	112	179	1274	15
2029	2020-05-01	Б	2	43	23	2	27	10	0	2548000	2	11446	103	209	1263	15
2028	2020-04-30	А	1	29	40	4	28	9	0	2537000	5	4801	172	131	1734	15
2027	2020-04-29	А	1	25	21	27	18	39	0	2526000	6	3685	130	160	1257	15
2026	2020-04-28	А	4	18	7	39	12	45	0	2515000	2	11545	92	237	1347	15
2025	2020-04-27	А	1	18	14	30	23	37	0	2504000	3	7896	87	257	1308	15

