Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	к-ть переможців в категорії 5х5	приз в категорії 5х5	к-ть переможців в категорії 4х5	приз в категорії 4х5	к-ть переможців в категорії 3х5	приз в категорії 3х5	к-ть переможців в категорії 2х5	приз в категорії 2х5
2017	2020-04-19	Б	3	10	36	29	19	33	0	2413000	1	20588	100	194	1317	15
2016	2020-04-18	Б	4	11	36	26	37	1	0	2402000	1	22186	75	279	1118	15
2015	2020-04-17	Б	1	43	26	15	8	37	0	2390000	1	26010	98	250	1435	15
2014	2020-04-16	Б	1	32	7	4	27	26	0	2379000	7	3352	116	191	1573	15
2013	2020-04-15	А	4	20	16	33	23	13	0	2369000	1	21661	92	222	1210	15
2012	2020-04-14	А	1	43	33	25	5	34	0	2358000	3	7949	101	223	1250	15
2011	2020-04-13	Б	4	1	24	12	26	42	0	2348000	0	0	75	275	1039	15
2010	2020-04-12	Б	1	37	20	36	17	14	0	2337000	3	7677	79	275	1163	15
2009	2020-04-11	А	2	14	30	18	1	27	0	2326000	2	11641	104	211	1171	15
2008	2020-04-10	А	4	45	25	5	16	8	0	2310000	2	12105	108	211	1583	15
2007	2020-04-09	А	3	1	10	8	36	12	0	2298000	4	6443	160	152	1900	15
2006	2020-04-08	А	4	29	7	42	35	5	0	2286000	2	12618	124	192	1418	15
2005	2020-04-07	А	3	13	23	37	22	24	0	2275000	0	0	83	271	1229	15

