Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	к-ть переможців в категорії 5х5	приз в категорії 5х5	к-ть переможців в категорії 4х5	приз в категорії 4х5	к-ть переможців в категорії 3х5	приз в категорії 3х5	к-ть переможців в категорії 3х5	приз в категорії 3х5
402	2011-07-03	Б	3	4	10	32	17	24	0	112786	11	2279	480	48	480	48
401	2011-06-30	А	1	9	21	4	34	3	0	78611	5	4068	547	34	547	34
400	2011-06-28	А	4	39	32	23	36	2	0	49153	6	2834	287	55	287	55
399	2011-06-26	А	1	16	28	18	2	19	0	25544	13	1484	480	37	480	37
398	2011-06-23	А	1	19	37	9	13	42	1	657780	53	935	1430	32	1430	32
397	2011-06-21	А	3	22	34	32	18	17	0	596019	37	1327	1283	35	1283	35
396	2011-06-19	А	4	3	10	25	6	40	0	533341	25	1868	1146	38	1146	38
395	2011-06-16	А	3	27	23	16	21	14	0	475690	36	1132	1222	31	1222	31
394	2011-06-14	Б	3	36	41	35	4	38	0	424368	20	2057	688	56	688	56
393	2011-06-12	Б	2	41	42	12	39	6	0	373446	16	2186	863	38	863	38
392	2011-06-09	А	4	4	24	41	1	16	0	330102	20	1816	614	55	614	55
391	2011-06-07	А	3	17	8	16	9	35	0	284799	27	1152	734	39	734	39
390	2011-06-05	Б	3	33	15	41	34	16	0	245997	13	2152	629	41	629	41
389	2011-06-02	Б	2	20	40	37	23	31	0	209881	13	2150	576	45	576	45
388	2011-05-31	Б	4	37	41	30	12	10	0	175114	16	1589	527	45	527	45
387	2011-05-29	Б	2	15	38	19	21	24	0	143451	16	1436	617	34	617	34
386	2011-05-26	Б	3	27	8	2	5	15	0	113841	21	1027	615	32	615	32
385	2011-05-24	Б	3	40	9	31	12	4	0	84599	10	2228	573	36	573	36
384	2011-05-22	Б	2	24	23	2	35	6	0	55477	9	2461	352	59	352	59
383	2011-05-19	А	1	35	28	12	4	17	0	25389	13	1452	389	45	389	45
382	2011-05-17	Б	4	6	5	16	15	12	1	315627	27	1218	879	35	879	35
381	2011-05-15	А	3	27	22	38	37	34	0	274677	12	2686	578	52	578	52
380	2011-05-12	А	4	19	22	34	35	5	0	234313	12	2472	614	45	614	45
379	2011-05-10	Б	4	20	41	1	27	29	0	196945	14	1710	659	34	659	34
378	2011-05-08	Б	2	10	6	25	23	36	0	166489	24	1169	780	33	780	33
377	2011-05-05	Б	4	38	30	13	12	17	0	130727	12	2021	531	42	531	42
376	2011-05-03	А	1	19	7	16	4	35	0	98420	10	1794	402	41	402	41
375	2011-05-01	А	2	22	9	11	40	30	0	75518	9	2249	484	39	484	39
374	2011-04-28	А	1	12	39	9	32	14	0	49552	8	2509	512	36	512	36
373	2011-04-26	Б	4	31	19	2	16	17	0	23692	11	1624	475	35	475	35
372	2011-04-24	Б	1	13	7	30	15	17	2	182795	16	2113	895	35	895	35
371	2011-04-21	А	1	9	4	37	41	6	0	322537	19	1881	831	40	831	40
370	2011-04-19	А	4	15	26	31	37	34	0	277561	26	1283	727	43	727	43
369	2011-04-17	А	1	32	20	34	15	16	0	236279	19	1582	932	30	932	30
368	2011-04-14	А	1	41	24	3	42	7	0	198384	21	1379	687	39	687	39
367	2011-04-12	А	3	29	22	23	25	4	0	161911	16	1763	653	40	653	40
366	2011-04-10	Б	2	6	28	30	31	19	0	126863	25	1068	723	34	723	34
365	2011-04-07	А	1	39	25	33	1	34	0	93357	11	2213	522	43	522	43
364	2011-04-05	Б	4	19	36	12	28	42	0	55913	15	1432	434	46	434	46
363	2011-04-03	А	2	14	27	8	36	37	0	28337	9	2296	432	44	432	44
362	2011-03-31	А	4	5	7	15	8	30	1	398523	25	1516	864	41	864	41
361	2011-03-29	Б	2	5	8	23	29	26	0	349604	26	1469	963	37	963	37
360	2011-03-27	Б	4	20	42	17	10	13	0	302129	20	1703	712	44	712	44
359	2011-03-24	Б	3	20	40	2	23	32	0	258842	15	2161	690	44	690	44
358	2011-03-22	А	4	37	15	7	42	3	0	217220	9	3115	695	37	695	37
357	2011-03-20	А	1	33	31	36	22	12	0	181552	11	2562	510	51	510	51
356	2011-03-17	А	3	16	42	1	20	23	0	144233	13	2002	509	47	509	47
355	2011-03-15	А	2	24	33	15	12	19	0	110945	27	879	577	38	577	38
354	2011-03-13	А	4	31	25	12	40	39	0	80560	14	1747	468	49	468	49
353	2011-03-10	А	4	6	37	18	2	26	0	49634	14	1563	478	42	478	42
352	2011-03-08	А	2	24	12	29	38	22	0	21801	7	2403	279	56	279	56
351	2011-03-06	А	4	19	33	26	15	1	1	113366	32	802	605	39	605	39
350	2011-03-03	А	4	15	4	12	26	29	0	79980	19	1231	564	38	564	38
349	2011-03-01	Б	4	10	39	8	20	41	0	50125	15	1095	416	37	416	37
348	2011-02-27	Б	4	40	4	3	42	6	0	27734	19	1128	490	41	490	41
347	2011-02-24	Б	4	39	21	16	28	33	1	123223	16	1568	654	35	654	35
346	2011-02-22	А	1	12	11	21	35	23	0	89160	14	1702	642	34	642	34
345	2011-02-20	А	2	37	39	18	32	11	0	59299	8	3163	485	48	485	48
344	2011-02-17	А	1	33	18	21	14	37	0	26706	10	2113	574	34	574	34
343	2011-02-15	Б	2	41	18	2	35	25	1	231710	16	1934	578	50	578	50
342	2011-02-13	Б	2	29	41	39	38	24	0	193652	13	2429	517	57	517	57
341	2011-02-10	Б	1	8	12	35	10	16	0	153446	13	2136	657	39	657	39
340	2011-02-08	А	4	10	30	11	7	18	0	117988	17	1468	736	31	736	31
339	2011-02-06	Б	1	37	40	15	21	38	0	86340	22	1125	551	42	551	42
338	2011-02-03	А	1	26	8	9	16	40	0	54905	5	4364	529	38	529	38
337	2011-02-01	А	3	3	6	35	20	38	0	26394	10	2077	447	43	447	43
336	2011-01-30	А	4	41	21	38	20	35	1	350217	14	2555	744	45	744	45
335	2011-01-27	А	2	16	33	11	20	36	0	305978	13	2493	613	49	613	49
334	2011-01-25	Б	1	17	16	36	18	5	0	265539	9	3324	585	47	585	47
333	2011-01-23	А	3	19	32	8	15	35	0	228398	19	1548	708	38	708	38
332	2011-01-20	А	1	39	19	28	25	20	0	191190	14	1999	640	41	640	41
331	2011-01-18	А	2	2	37	12	39	18	0	155938	15	1825	538	47	538	47
330	2011-01-16	А	3	8	20	15	5	32	0	119373	21	1167	650	35	650	35
329	2011-01-13	Б	1	11	12	17	22	23	0	86905	16	1537	561	41	561	41
328	2011-01-11	Б	2	37	24	29	25	8	0	55697	7	3349	413	53	413	53
327	2011-01-09	Б	4	37	1	26	25	28	0	26169	9	2295	343	56	343	56
326	2011-01-06	Б	2	23	21	5	25	11	1	305740	13	2428	830	35	830	35
325	2011-01-04	Б	3	5	7	1	38	24	0	263433	15	1801	556	45	556	45
324	2011-01-02	Б	4	29	19	16	8	23	0	229578	13	1896	609	37	609	37
323	2010-12-30	А	3	32	23	6	5	40	0	196804	25	1256	688	42	688	42
322	2010-12-28	Б	4	7	11	27	29	23	0	157290	19	1442	640	40	640	40
321	2010-12-26	Б	3	14	41	37	20	24	0	123606	8	3528	586	45	586	45
320	2010-12-23	Б	1	16	39	33	12	7	0	87573	23	1049	686	32	686	32
319	2010-12-21	Б	4	11	38	15	18	28	0	56151	10	2248	470	44	470	44
318	2010-12-19	Б	1	22	6	19	40	38	0	27450	12	1768	579	34	579	34
317	2010-12-16	Б	1	38	6	24	15	16	1	296597	22	1482	749	40	749	40
316	2010-12-14	Б	4	4	2	28	21	36	0	252827	29	919	940	26	940	26
315	2010-12-12	Б	2	12	20	38	6	10	0	219250	24	1215	641	42	641	42
