Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	к-ть переможців в категорії 5х5	приз в категорії 5х5	к-ть переможців в категорії 4х5	приз в категорії 4х5	к-ть переможців в категорії 3х5	приз в категорії 3х5	к-ть переможців в категорії 2х5	приз в категорії 2х5
1952	2020-02-14	Б	3	25	5	4	13	21	0	1124000	1	26087	153	161	1965	15
1951	2020-02-13	Б	2	3	8	17	39	4	0	1102000	6	4185	175	135	2013	15
1950	2020-02-12	А	4	5	16	23	42	37	0	1080000	1	26033	124	198	1302	15
1949	2020-02-11	А	1	26	21	1	7	22	0	1058000	3	8568	129	188	1878	15
1948	2020-02-10	А	4	15	23	5	30	11	0	1036000	6	4303	168	145	1747	15
1947	2020-02-09	Б	4	16	36	45	15	31	0	1014000	1	25768	121	201	1340	15
1946	2020-02-08	Б	4	6	38	33	2	27	0	994000	10	2412	148	153	1534	15
1945	2020-02-07	А	1	42	7	26	9	11	0	973000	5	5016	117	202	1787	15
1944	2020-02-06	Б	2	43	2	4	37	15	0	951000	2	12960	114	214	1317	15
1943	2020-02-05	Б	2	7	36	35	11	12	0	932000	3	7135	95	212	1450	15
1942	2020-02-04	А	4	44	21	1	26	33	0	913000	4	5247	126	157	1511	15
1941	2020-02-03	Б	4	36	14	27	19	3	0	896000	1	19477	99	185	1264	15
1940	2020-02-02	Б	1	27	2	34	17	30	0	875000	1	24568	141	164	1654	15
1939	2020-02-01	А	4	27	31	9	22	7	0	858000	6	3239	154	119	1441	15

