Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	к-ть переможців в категорії 5х5	приз в категорії 5х5	к-ть переможців в категорії 4х5	приз в категорії 4х5	к-ть переможців в категорії 3х5	приз в категорії 3х5	к-ть переможців в категорії 2х5	приз в категорії 2х5
1995	2020-03-28	А	3	45	31	14	13	2	0	2173000	2	10303	62	313	943	15
1994	2020-03-27	А	4	5	22	14	26	21	0	2164000	9	2070	174	101	1529	15
1993	2020-03-26	А	2	3	33	30	11	15	0	2154000	5	4075	153	125	1666	15
1992	2020-03-25	Б	2	32	29	31	27	17	0	2114000	0	0	60	328	1089	15
1991	2020-03-24	А	2	2	11	33	25	15	0	2097000	5	3634	114	150	1291	15
1990	2020-03-23	Б	1	28	32	18	2	4	0	2061000	0	0	74	239	1091	15
1989	2020-03-22	Б	3	44	21	4	17	25	0	2044000	1	19123	99	182	1236	15
1988	2020-03-21	Б	4	6	18	42	38	20	0	2024000	1	20955	67	295	1202	15
1987	2020-03-20	А	1	27	37	26	24	23	0	2005000	2	10345	77	253	968	15
1986	2020-03-19	А	3	17	11	6	14	26	0	1985000	2	10871	112	183	1391	15
1985	2020-03-18	Б	1	23	31	1	6	37	0	1966000	3	6742	102	187	1348	15
1984	2020-03-17	А	4	20	43	17	5	44	0	1944000	2	12969	103	237	1569	15
1983	2020-03-16	Б	4	9	5	27	2	20	0	1923000	7	3368	188	118	1802	15
1982	2020-03-15	А	3	24	25	6	4	30	0	1901000	2	13212	129	193	1643	15
1981	2020-03-14	Б	3	40	5	29	24	42	0	1876000	4	7229	99	275	1635	15
1980	2020-03-13	Б	2	25	7	13	22	21	0	1852000	6	4738	203	132	2240	15
1979	2020-03-12	Б	2	29	36	31	14	28	0	1823000	3	11117	139	226	1584	15
1978	2020-03-11	А	4	11	26	45	16	36	0	1802000	5	4763	192	117	1747	15
1977	2020-03-10	А	4	29	21	7	39	38	0	1776000	4	7554	174	164	2056	15
1976	2020-03-09	А	2	14	36	12	1	19	0	1753000	2	13461	153	166	1780	15

