2014-10-27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
0,0,0,18,7,0,0,64,0,0,28,0,30,0,0,0,0,0,9,0
59,10,0,23,32,0,36,52,70,0,46,42,50,51,0,0,35,25,38,34
58,47,73,69,74,48,13,45,20,60,5,79,56,8,0,0,6,33,72,3
26,2,55,14,67,41,31,27,37,80,16,76,4,57,54,75,39,49,62,44
17,68,53,29,43,77,22,11,66,78,21,19,71,12,63,15,24,61,65,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,75,0
0,0,0,23,18,0,40,28,0,33,0,47,52,0,0,0,0,0,70,0
0,2,0,20,7,10,35,46,48,32,51,45,50,0,0,64,0,0,73,79
0,6,5,13,9,34,37,38,36,49,41,54,56,58,0,60,0,0,76,80
3,4,8,14,16,30,26,27,42,31,39,44,55,57,59,62,69,67,72,74
1,11,12,15,17,19,21,22,24,29,43,53,61,63,65,66,68,71,77,78
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0,0,7,0,0,0,70,0,28,42,50,0,0,0,0,0,9,34
59,47,0,23,32,0,13,64,20,60,5,79,56,0,0,0,35,0,38,3
26,2,55,69,74,48,31,52,37,80,16,76,4,57,0,75,6,0,62,44
17,68,53,29,67,41,22,45,66,78,21,19,71,12,54,15,39,33,65,1
36,72,8,61,18,49,73,51,58,30,25,40,24,11,63,43,46,14,77,27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0
0,0,0,23,7,0,35,0,0,33,0,45,52,0,0,64,0,0,0,79
0,2,0,20,9,10,37,28,0,32,0,54,50,0,0,60,0,0,75,80
3,6,5,13,16,34,26,38,48,31,41,44,56,0,59,62,69,67,70,74
1,4,12,15,17,19,21,22,42,29,39,53,55,57,65,66,68,71,76,78
8,11,14,18,24,25,27,30,36,40,43,46,49,51,58,61,63,72,73,77
