2015-07-07
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
28,0,0,0,0
24,0,0,0,0
38,11,0,0,2
26,33,31,12,34
43,17,10,5,36
4,32,8,9,40
1,22,7,14,6
20,35,23,44,13
30,37,21,41,18
15,42,16,29,45
27,19,3,39,25
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,24,0,28,0
0,12,0,31,0
10,8,0,38,0
2,34,0,33,36
26,7,0,17,43
5,14,11,23,44
9,4,40,32,22
1,20,6,35,41
13,18,21,30,37
15,16,29,42,45
3,19,25,27,39
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
28,0,0,0,2
24,11,31,0,34
38,33,10,0,36
43,17,8,12,40
1,32,7,5,6
20,22,23,9,13
30,37,21,14,18
15,42,16,29,45
27,19,3,39,25
26,35,44,4,41
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,24,0,28,0
0,12,0,31,0
10,8,0,38,0
2,34,0,33,0
5,7,11,17,36
9,14,40,23,43
1,20,6,32,22
13,18,21,30,37
15,16,29,42,45
3,19,25,27,39
4,26,35,41,44
