2020-03-31
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
41,8,0,0,19
40,35,0,0,23
9,36,0,10,20
6,43,12,39,4
44,37,1,16,17
28,29,42,25,15
3,33,30,26,21
45,22,14,13,2
11,31,7,27,5
32,34,24,18,38
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,35,0
0,0,0,19,41
0,0,0,40,39
1,8,9,43,36
23,10,20,28,37
6,12,29,25,42
17,16,15,30,44
3,4,21,22,33
2,13,14,31,26
5,7,11,27,45
18,24,32,34,38
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,8,0,0,0
41,35,0,0,0
40,36,0,0,19
9,43,0,39,23
6,37,12,16,20
44,29,1,25,17
3,33,30,26,15
45,22,14,13,21
11,31,7,27,2
32,34,24,18,5
38,28,10,42,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,35,0
0,0,0,19,0
1,0,9,40,41
23,0,20,43,39
6,8,29,25,36
17,12,15,30,37
3,16,21,22,44
2,13,14,31,33
5,7,11,27,26
18,24,32,34,45
4,10,28,38,42
