2007-03-31
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,24,0,50,0
47,0,28,14,1,44
8,0,25,26,7,10
27,12,33,53,20,9
36,2,32,5,45,18
15,52,17,43,23,48
54,6,35,42,4,37
21,22,11,3,39,49
30,51,29,46,40,31
41,13,34,19,16,38
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,44,0,0
0,0,0,26,0,0
8,0,0,27,0,0
1,14,24,33,0,0
2,7,28,32,0,0
5,17,12,48,36,47
20,15,10,42,43,50
18,23,25,37,52,53
6,4,9,35,49,45
3,11,21,22,39,54
29,30,31,40,46,51
13,16,19,34,38,41
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,28,0,50,0
47,0,25,14,1,44
8,0,33,26,7,10
27,12,32,53,20,9
36,2,17,5,45,18
15,52,35,42,23,48
54,6,11,3,4,49
21,51,29,46,39,31
30,13,34,19,16,38
24,22,41,43,37,40
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
8,0,0,0,0,0
1,14,0,44,0,0
2,7,28,26,0,0
5,17,12,27,0,0
20,15,10,33,36,47
18,23,25,32,52,50
6,4,9,48,49,53
3,11,21,42,39,45
29,30,31,35,46,54
13,16,19,34,38,51
22,24,37,40,41,43
