2011-06-25
0,0,0,0,47,0
0,0,0,0,27,0
0,0,0,0,50,0
0,0,0,0,1,0
0,0,0,0,43,0
0,0,45,0,49,0
54,0,22,0,4,53
40,0,18,0,33,39
11,0,34,48,20,30
23,0,12,52,14,36
6,0,24,37,7,21
25,0,8,5,16,9
10,51,38,32,26,42
28,44,46,2,3,13
31,29,17,35,41,15
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,30,0,0,0,0
0,11,0,0,39,0
0,23,0,0,27,0
0,4,22,0,45,0
0,18,6,40,50,0
0,9,20,19,43,47
0,14,10,36,49,25
1,7,24,21,33,48
12,5,8,34,16,52
26,28,32,37,42,51
2,3,13,38,44,46
15,17,29,31,35,41
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,27,0
0,0,0,0,50,0
0,0,0,0,1,0
54,0,0,0,43,53
40,0,0,0,49,39
11,0,22,48,4,30
23,0,18,52,33,36
6,0,12,37,20,21
25,0,24,5,7,9
10,0,8,32,16,42
28,44,38,2,26,13
31,29,17,35,3,15
14,51,45,34,46,41
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,30,0,0,0,0
0,11,0,0,39,0
0,23,22,0,27,0
0,4,6,0,50,0
0,18,20,40,43,0
0,9,10,19,49,0
1,7,24,36,33,0
12,5,8,21,16,47
26,28,32,37,42,25
2,3,13,38,44,48
15,17,29,31,35,52
14,34,41,45,46,51
