2007-04-07
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,28,0,50,44
0,0,25,0,1,10
47,12,33,14,7,9
8,2,17,26,20,18
27,52,35,42,23,48
36,6,11,3,4,49
54,51,29,46,39,31
21,13,34,19,16,38
24,22,41,43,37,40
32,30,15,5,45,53
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
8,0,0,0,0,0
1,0,28,44,0,0
2,14,12,26,0,0
20,7,10,27,36,0
18,17,25,33,52,0
6,23,9,48,49,47
3,4,21,42,39,50
29,11,31,35,46,54
13,16,19,34,38,51
22,24,37,40,41,43
5,15,30,32,45,53
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,50,0
0,0,0,0,1,0
0,0,28,14,7,10
47,12,33,26,20,9
8,2,17,42,23,18
27,52,35,3,4,48
36,6,11,46,39,49
54,51,29,19,16,31
21,22,41,43,37,38
32,30,15,5,45,40
13,34,53,24,44,25
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
8,0,0,0,0,0
1,0,28,0,0,0
2,14,12,26,36,0
20,7,10,27,52,0
18,17,9,33,49,0
6,23,21,48,39,47
3,4,31,42,46,50
29,11,19,35,38,54
22,16,37,40,41,51
5,15,30,32,45,43
13,24,25,34,44,53
