2018-07-25
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,30,0,0
0,0,0,26,0,0
0,0,0,46,0,0
34,22,43,14,0,0
29,32,15,39,0,25
16,35,33,18,0,23
7,28,36,31,0,4
20,10,52,44,45,40
11,41,2,8,47,1
38,49,42,12,51,13
27,50,24,17,19,9
5,37,48,21,6,3
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,30,22,0,0
0,0,29,26,0,0
0,0,43,14,0,0
0,0,15,23,0,0
0,0,18,33,34,0
4,0,28,40,32,46
16,25,10,31,35,39
1,7,36,41,44,45
13,20,8,11,47,52
2,12,38,42,50,49
9,17,19,24,27,51
3,5,6,21,37,48
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,30,0,0
0,22,0,26,0,0
34,32,0,46,0,0
16,35,15,14,0,25
7,28,33,39,0,23
20,10,36,18,45,4
11,41,2,31,47,40
38,49,42,44,51,1
27,50,24,8,19,9
5,37,48,21,6,3
12,43,29,17,52,13
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,22,0,0
0,0,0,26,0,0
0,0,30,14,0,0
0,0,15,23,0,0
0,0,18,33,34,0
0,0,28,40,32,0
4,0,10,31,35,46
16,0,36,41,44,39
1,25,8,11,47,45
2,7,38,42,50,49
9,20,19,24,27,51
3,5,6,21,37,48
12,13,17,29,43,52
