1:12 2:14 3:5 4:4 5:6 6:9 7:6 8:15 9:4 10:6 11:8 12:13 13:8 14:9 15:8 16:11 17:10 18:13 19:4 20:10 
1:6 2:9 3:3 4:7 5:11 6:10 7:7 8:12 9:8 10:7 11:14 12:12 13:10 14:10 15:7 16:11 17:11 18:7 19:8 20:5 
1:6 2:5 3:9 4:8 5:8 6:8 7:8 8:5 9:1 10:8 11:7 12:5 13:5 14:7 15:3 16:9 17:9 18:6 19:5 20:6 
1:6 2:6 3:7 4:5 5:3 6:7 7:5 8:9 9:5 10:6 11:7 12:3 13:6 14:9 15:9 16:7 17:7 18:11 19:2 20:8 
1:7 2:6 3:7 4:12 5:10 6:8 7:10 8:8 9:8 10:8 11:8 12:12 13:11 14:8 15:11 16:8 17:12 18:6 19:11 20:8 
1:8 2:8 3:6 4:7 5:12 6:7 7:13 8:9 9:10 10:7 11:9 12:11 13:9 14:10 15:9 16:11 17:10 18:10 19:5 20:8 
1:8 2:7 3:8 4:4 5:10 6:9 7:8 8:8 9:14 10:8 11:8 12:5 13:6 14:8 15:6 16:6 17:10 18:8 19:5 20:3 
1:9 2:8 3:1 4:8 5:3 6:6 7:6 8:9 9:13 10:7 11:3 12:10 13:9 14:7 15:10 16:8 17:4 18:10 19:7 20:11 
1:11 2:8 3:6 4:8 5:12 6:10 7:9 8:7 9:5 10:9 11:3 12:5 13:8 14:7 15:6 16:5 17:11 18:9 19:4 20:7 
1:7 2:10 3:8 4:6 5:7 6:6 7:7 8:7 9:8 10:6 11:12 12:6 13:10 14:13 15:4 16:6 17:8 18:7 19:7 20:5 
1:13 2:8 3:9 4:9 5:12 6:10 7:9 8:7 9:8 10:7 11:5 12:8 13:5 14:7 15:7 16:9 17:8 18:10 19:10 20:11 
1:5 2:8 3:8 4:10 5:6 6:8 7:13 8:11 9:12 10:12 11:8 12:9 13:5 14:7 15:9 16:9 17:10 18:9 19:4 20:9 
1:7 2:7 3:4 4:8 5:8 6:10 7:8 8:7 9:10 10:13 11:7 12:9 13:9 14:12 15:8 16:8 17:8 18:6 19:13 20:9 
1:7 2:6 3:4 4:11 5:10 6:7 7:9 8:12 9:9 10:12 11:6 12:6 13:9 14:13 15:12 16:8 17:3 18:8 19:9 20:10 
1:5 2:12 3:9 4:10 5:12 6:7 7:7 8:9 9:2 10:6 11:10 12:6 13:8 14:5 15:9 16:7 17:10 18:8 19:14 20:5 
1:12 2:8 3:9 4:5 5:6 6:11 7:11 8:6 9:5 10:9 11:10 12:6 13:7 14:8 15:7 16:7 17:8 18:9 19:5 20:12 
1:7 2:5 3:10 4:7 5:10 6:9 7:6 8:6 9:8 10:10 11:8 12:6 13:5 14:12 15:3 16:8 17:8 18:11 19:10 20:9 
1:7 2:5 3:8 4:7 5:7 6:7 7:9 8:9 9:13 10:5 11:9 12:7 13:5 14:11 15:7 16:8 17:8 18:12 19:6 20:8 
1:6 2:12 3:7 4:6 5:10 6:11 7:8 8:5 9:9 10:7 11:11 12:6 13:8 14:11 15:10 16:6 17:8 18:9 19:9 20:10 
1:8 2:8 3:11 4:13 5:5 6:6 7:5 8:6 9:11 10:12 11:8 12:11 13:9 14:6 15:8 16:7 17:7 18:9 19:10 20:9 
1:7 2:9 3:8 4:8 5:4 6:8 7:9 8:7 9:6 10:7 11:4 12:11 13:6 14:9 15:6 16:9 17:9 18:10 19:5 20:12 
1:12 2:7 3:3 4:10 5:10 6:5 7:4 8:10 9:10 10:8 11:13 12:6 13:10 14:6 15:8 16:5 17:5 18:5 19:4 20:13 
1:12 2:8 3:12 4:5 5:6 6:8 7:10 8:7 9:7 10:10 11:8 12:10 13:10 14:9 15:9 16:8 17:9 18:6 19:7 20:6 
1:9 2:11 3:9 4:9 5:7 6:8 7:9 8:7 9:8 10:7 11:9 12:8 13:8 14:9 15:4 16:11 17:10 18:8 19:8 20:8 
