Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	Кулька номер 6	Кулька номер 7	Кулька номер 8	Кулька номер 9	Кулька номер 10	Кулька номер 11	Кулька номер 12	Кулька номер 13	Кулька номер 14	Кулька номер 15	Кулька номер 16	Кулька номер 17	Кулька номер 18	Кулька номер 19	Кулька номер 20	2х2	2х3	3х3	2х4	3х4	4х4	3х5	4х5	5х5	3х6	4х6	5х6	6х6	4х7	5х7	6х7	7х7	4х8	5х8	6х8	7х8	8х8	0х9	5х9	6х9	7х9	8х9	9х9	0х10	5х10	6х10	7х10	8х10	9х10	10х10
6927	2020-03-28	А	3	9	17	32	28	37	10	52	50	78	44	19	36	34	39	5	30	71	25	77	80	3	14	0	52	15	1	101	19	1	230	51	6	0	72	8	1	0	63	20	14	0	0	85	50	4	2	0	0	190	205	46	9	0	0	0	Keno_Results__6909-6927
6926	2020-03-27	Б	4	7	4	59	58	78	46	57	16	34	56	28	77	79	36	9	10	13	80	44	50	5	39	0	49	12	1	110	9	0	286	64	3	0	95	12	0	0	64	11	2	0	0	52	33	24	0	0	0	164	200	41	16	1	0	0
6925	2020-03-26	Б	3	52	76	24	11	4	14	40	42	74	8	7	66	64	63	15	48	9	38	78	75	10	72	2	71	21	2	99	12	1	321	57	3	0	75	28	0	0	116	25	1	0	0	65	22	6	1	0	0	204	178	45	4	0	0	0
6924	2020-03-25	Б	3	20	60	61	79	68	69	44	46	12	80	17	15	55	31	52	45	37	71	63	49	15	27	3	57	7	0	50	12	0	236	40	4	0	67	5	1	0	60	15	0	1	0	63	20	4	1	0	0	212	195	64	4	0	0	0
6923	2020-03-24	Б	1	16	73	65	8	12	14	42	56	23	39	22	29	49	18	61	9	52	35	31	58	6	20	1	92	11	0	88	9	0	297	69	1	1	47	15	1	0	60	19	0	0	0	58	17	1	0	0	0	168	184	25	7	0	0	0
6922	2020-03-23	А	3	1	80	21	78	7	22	16	46	35	56	72	53	24	61	60	62	57	14	55	6	23	28	5	55	26	0	54	8	0	266	54	3	0	64	15	1	0	83	6	0	0	0	95	30	9	0	0	0	226	230	25	9	0	0	0
6921	2020-03-22	Б	1	12	77	63	22	78	38	6	31	28	16	44	7	24	58	29	70	35	65	34	37	20	36	3	54	14	1	75	8	0	313	58	6	0	61	6	0	0	89	14	0	0	0	69	42	0	0	0	0	259	286	46	3	1	0	0
6920	2020-03-21	Б	1	37	27	30	54	8	63	31	18	50	20	15	47	21	29	4	53	13	58	34	60	12	28	2	70	33	2	121	21	0	369	83	4	0	109	19	2	0	119	37	13	0	0	107	64	20	0	0	0	197	298	138	11	6	0	0
6919	2020-03-20	Б	2	54	79	65	11	48	36	22	37	45	21	7	15	23	74	10	38	19	67	24	33	41	38	1	75	18	0	102	7	1	278	93	14	0	73	23	1	0	64	17	4	0	0	73	53	6	0	0	0	248	202	59	10	0	0	0
6918	2020-03-19	А	3	56	1	6	3	7	76	19	59	61	54	69	53	38	48	34	21	45	78	52	23	11	36	13	84	13	2	112	8	1	311	52	9	1	120	17	0	0	121	15	0	0	0	69	49	3	1	0	0	196	243	55	11	0	0	0
6917	2020-03-18	А	4	63	33	19	62	7	26	53	76	32	70	37	67	52	3	16	48	25	8	22	28	8	23	2	108	14	4	152	9	1	303	66	4	0	81	6	0	0	107	19	3	0	0	48	51	6	0	0	0	188	232	60	5	0	0	0
6916	2020-03-17	Б	4	23	67	45	37	34	28	30	40	29	63	57	72	25	48	6	55	56	15	51	66	9	44	6	113	23	0	140	15	0	381	63	13	0	105	13	1	0	130	37	8	0	0	77	38	3	0	0	0	332	289	51	10	1	0	0
6915	2020-03-16	Б	4	20	53	40	16	25	69	1	22	73	66	37	41	76	2	24	49	38	35	7	80	75	82	7	138	30	2	173	23	1	456	67	5	0	99	26	0	0	151	38	1	0	0	134	63	9	0	0	0	262	332	60	9	1	0	0
6914	2020-03-15	Б	1	54	26	47	16	23	41	31	15	72	78	62	76	25	8	32	65	56	30	34	77	7	74	0	116	31	2	135	17	0	368	66	6	1	85	22	2	0	113	22	2	0	0	124	71	5	0	0	0	339	227	58	3	0	0	0
6913	2020-03-14	Б	2	26	66	42	30	74	10	59	21	76	70	14	11	16	28	24	49	39	7	31	44	39	57	2	134	15	0	151	15	3	414	63	9	0	118	16	0	0	137	41	7	0	0	100	40	11	0	1	0	310	332	84	16	0	0	0
6912	2020-03-13	Б	1	23	74	12	16	79	5	8	68	39	20	4	76	77	53	38	6	75	25	41	21	10	72	9	146	19	2	254	34	3	487	143	8	0	143	17	2	0	207	46	9	1	0	156	54	11	0	0	0	249	345	106	7	0	0	0
6911	2020-03-12	А	4	17	69	38	9	50	63	39	26	46	16	4	5	45	75	10	2	55	52	33	14	12	57	4	158	33	2	172	43	1	537	168	27	0	146	20	4	0	204	38	4	0	0	133	72	5	0	0	0	257	442	121	26	1	0	0
6910	2020-03-11	Б	4	69	59	50	78	42	44	26	3	75	53	65	56	27	71	30	45	74	38	28	46	17	45	7	78	14	2	195	9	0	333	87	8	0	90	9	1	0	140	30	1	0	0	194	66	4	4	0	0	359	296	74	18	1	0	0
6909	2020-03-10	А	3	18	28	33	76	23	40	25	6	49	19	4	30	59	13	69	24	77	17	74	22	65	194	18	164	47	1	287	46	2	611	157	21	0	198	43	2	0	198	42	9	0	0	101	108	8	6	0	0	268	394	94	8	1	0	0
