Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	Кулька номер 6	Кулька номер 7	Кулька номер 8	Кулька номер 9	Кулька номер 10	Кулька номер 11	Кулька номер 12	Кулька номер 13	Кулька номер 14	Кулька номер 15	Кулька номер 16	Кулька номер 17	Кулька номер 18	Кулька номер 19	Кулька номер 20	2х2	2х3	3х3	2х4	3х4	4х4	3х5	4х5	5х5	3х6	4х6	5х6	6х6	4х7	5х7	6х7	7х7	4х8	5х8	6х8	7х8	8х8	0х9	5х9	6х9	7х9	8х9	9х9	0х10	5х10	6х10	7х10	8х10	9х10	10х10
20	2001-04-30	А	1	37	32	38	29	26	11	39	66	55	2	61	62	20	13	44	30	56	65	34	53	240	378	31	670	94	7	419	42	3	814	137	9	0	240	40	10	0	437	119	16	0	0	543	213	37	2	0	0	1379	1112	279	59	1	0	0	Keno_Results__1-20
19	2001-04-29	А	4	28	2	15	50	39	38	21	16	11	52	36	22	18	17	9	10	75	48	20	7	219	469	28	728	179	20	635	140	22	869	347	65	1	382	65	20	0	568	173	47	3	0	471	349	108	9	1	0	985	1869	523	99	16	1	0
18	2001-04-28	Б	1	29	80	35	52	26	12	66	38	34	18	14	41	4	73	19	22	31	23	62	16	235	552	70	1004	196	10	823	119	2	1117	257	31	0	435	45	1	0	673	190	22	5	0	775	404	90	8	0	0	1786	2182	414	75	5	0	0
17	2001-04-27	Б	1	56	3	4	36	34	60	40	72	26	44	7	11	6	47	77	32	28	17	23	2	450	750	91	1085	325	10	1095	185	8	1394	353	39	1	634	130	14	0	826	234	11	1	0	640	514	81	26	0	0	1217	2502	657	151	3	0	0
16	2001-04-26	Б	1	59	19	68	1	54	18	17	36	47	61	70	39	15	11	27	69	31	63	49	74	255	429	30	822	125	2	570	88	1	907	168	6	0	264	48	2	0	510	116	4	2	0	747	298	19	5	0	0	1957	1505	318	33	4	0	0
15	2001-04-25	Б	3	64	23	3	69	78	29	61	28	52	63	9	45	4	18	80	62	35	66	48	60	189	425	40	871	125	12	748	104	5	903	181	16	0	277	39	3	0	489	111	5	0	0	676	374	62	1	0	0	1753	1569	336	36	7	0	0
14	2001-04-24	А	3	80	75	45	41	19	14	62	17	1	48	22	5	4	71	66	73	69	23	61	34	191	458	50	905	164	17	745	71	1	825	181	5	0	264	53	19	0	506	114	25	0	0	591	345	74	14	0	0	1474	1579	340	53	3	0	0
13	2001-04-23	Б	3	30	33	71	44	29	31	3	64	56	79	4	55	24	32	59	54	14	15	75	78	158	464	21	663	105	6	472	66	0	730	132	23	1	298	31	2	0	476	88	9	0	0	523	210	23	6	0	0	1528	1120	243	40	1	0	0
12	2001-04-22	А	3	50	29	34	41	47	20	75	42	57	21	66	24	36	3	7	33	59	5	32	58	162	447	23	760	110	0	483	63	9	646	145	19	0	215	55	8	2	349	88	9	1	0	395	223	24	1	0	0	767	1276	293	25	2	0	0
11	2001-04-21	Б	1	52	12	69	17	48	5	4	54	39	71	59	21	28	44	74	65	56	24	73	57	174	491	36	579	127	7	648	82	3	763	193	8	1	292	49	3	0	466	104	11	6	0	688	272	46	0	0	0	1817	1363	323	38	6	0	0
10	2001-04-20	А	4	71	61	26	24	65	4	52	19	15	43	77	25	58	38	30	12	69	50	2	41	192	588	22	828	162	5	709	96	6	896	187	20	3	300	40	3	0	586	84	24	0	0	441	286	51	4	0	0	1480	1671	340	53	0	0	0
9	2001-04-19	Б	4	35	17	48	45	38	73	54	57	76	60	31	49	25	68	62	14	70	2	39	12	259	439	47	844	155	6	700	96	1	775	152	7	0	236	33	0	0	383	101	14	0	0	522	258	52	4	0	0	1572	1302	266	37	0	0	0
8	2001-04-18	Б	1	44	80	7	2	49	76	33	6	70	74	56	34	8	1	15	13	36	21	60	65	253	652	66	749	162	5	689	99	7	1115	209	41	0	363	50	5	0	532	114	9	1	0	638	344	39	18	0	0	975	2016	452	73	3	0	0
7	2001-04-17	А	1	6	44	79	55	38	2	75	45	32	3	69	19	17	53	54	18	42	35	65	27	180	408	48	582	96	11	477	66	6	732	152	19	0	261	45	4	0	384	90	18	0	0	459	192	35	0	0	2	1018	1312	297	36	1	0	0
6	2001-04-16	Б	2	79	65	18	46	50	45	24	17	21	36	10	38	26	72	28	4	67	74	7	23	136	259	35	396	85	11	276	46	6	361	108	12	0	185	22	3	0	269	55	2	1	0	178	162	35	2	0	0	536	887	208	27	2	1	0
5	2001-04-15	Б	4	42	66	40	67	63	3	7	65	30	68	70	49	35	48	76	56	61	50	11	5	35	130	20	169	26	1	187	14	2	211	33	6	0	87	20	0	0	116	25	1	0	0	186	61	4	2	0	0	694	412	91	10	0	0	0
4	2001-04-14	А	2	38	23	40	12	6	76	70	33	48	2	80	68	3	36	61	42	37	35	78	58	84	304	18	427	77	11	382	28	0	495	112	24	2	155	29	0	0	232	75	2	0	0	323	149	25	1	0	0	768	876	198	32	0	0	0
3	2001-04-13	Б	3	19	72	50	46	49	21	54	12	5	16	77	80	59	32	74	53	68	69	1	25	93	250	23	414	69	4	388	47	3	435	91	7	1	122	14	0	0	183	30	10	0	0	307	152	42	0	0	0	857	903	203	16	0	0	0
2	2001-04-12	А	1	67	76	48	34	14	53	59	60	55	27	33	16	37	30	61	21	6	36	69	49	88	212	13	330	93	2	249	44	1	371	76	14	0	153	17	1	0	178	38	2	0	0	285	84	13	0	0	0	928	619	141	20	1	0	0
1	2001-04-11	А	3	50	53	17	63	72	7	54	49	6	23	35	64	19	61	30	22	11	42	36	47	107	156	15	320	56	4	282	50	2	340	81	9	0	123	16	0	0	160	64	4	0	0	207	102	5	0	0	0	489	627	184	33	2	0	0
