Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	Кулька номер 6	Кулька номер 7	Кулька номер 8	Кулька номер 9	Кулька номер 10	Кулька номер 11	Кулька номер 12	Кулька номер 13	Кулька номер 14	Кулька номер 15	Кулька номер 16	Кулька номер 17	Кулька номер 18	Кулька номер 19	Кулька номер 20	2х2	2х3	3х3	2х4	3х4	4х4	3х5	4х5	5х5	3х6	4х6	5х6	6х6	4х7	5х7	6х7	7х7	4х8	5х8	6х8	7х8	8х8	0х9	5х9	6х9	7х9	8х9	9х9	0х10	5х10	6х10	7х10	8х10	9х10	10х10
7052	2020-07-31	Б	1	36	55	56	4	32	26	10	16	7	30	54	41	76	73	35	46	37	3	27	31	3	25	5	113	16	0	288	24	1	436	75	8	0	113	20	0	0	139	27	2	0	0	110	45	22	11	0	0	286	365	75	11	0	0	0	Keno_Results__6001-7052
7051	2020-07-30	А	1	37	45	43	3	53	18	79	2	50	36	12	30	5	25	19	51	21	22	75	7	7	31	0	128	27	1	175	9	0	449	117	14	0	131	23	1	0	123	37	6	0	0	85	90	22	5	0	0	370	302	125	33	1	0	0
7050	2020-07-29	Б	1	3	43	47	5	25	19	46	41	38	18	68	77	13	79	72	71	10	20	73	53	10	53	6	162	32	2	158	14	1	355	76	8	0	133	23	2	0	135	29	4	0	0	83	52	4	0	0	0	288	332	88	10	0	0	0
7049	2020-07-28	Б	4	11	51	45	65	2	62	73	6	32	3	79	38	20	28	15	37	7	42	68	56	7	44	3	91	24	0	132	28	1	355	60	6	0	146	14	0	0	160	44	3	0	0	123	44	14	0	0	0	258	295	74	16	1	0	0
7048	2020-07-27	А	3	69	55	65	7	8	59	44	73	66	72	60	28	75	46	78	53	15	43	34	41	10	46	1	100	21	3	162	15	0	295	64	5	0	94	15	2	0	141	27	5	0	0	167	33	4	0	0	0	330	309	56	11	0	0	0
7047	2020-07-26	А	4	78	45	39	33	70	32	73	30	66	27	38	67	6	62	14	1	74	11	56	31	14	38	5	92	12	1	89	19	0	291	63	3	1	94	10	0	0	122	21	8	0	0	110	41	4	0	0	0	249	212	57	5	0	0	0
7046	2020-07-25	А	3	70	71	32	41	77	51	28	45	37	12	9	36	14	48	25	26	59	62	8	63	4	23	2	109	10	1	143	19	1	380	70	2	0	96	10	1	0	165	20	2	0	0	92	66	9	0	0	0	337	335	76	3	0	0	0
7045	2020-07-24	Б	1	29	76	11	25	7	79	53	62	13	56	72	44	5	71	69	75	65	73	51	31	7	52	1	96	20	0	120	18	2	334	79	6	1	105	14	3	0	143	36	5	1	0	140	39	7	1	0	0	364	311	88	5	0	0	0
7044	2020-07-23	А	1	73	14	65	27	12	76	62	64	68	16	74	19	77	42	32	5	24	71	69	20	4	70	1	117	13	1	196	20	1	372	63	5	0	88	11	1	0	113	56	1	0	0	139	44	7	2	0	0	317	384	74	19	2	0	0
7043	2020-07-22	Б	1	7	37	72	35	33	58	59	28	80	55	60	52	79	3	18	44	77	12	27	24	5	54	7	102	33	0	101	8	0	354	86	4	0	120	25	0	0	109	38	3	0	0	109	61	12	1	0	0	289	347	103	12	0	0	0
7042	2020-07-21	Б	2	38	35	66	21	68	49	34	65	9	74	78	62	5	20	79	76	29	18	14	52	3	65	6	166	19	0	147	22	2	434	85	19	0	117	26	1	0	167	18	1	0	0	84	52	7	1	0	0	298	399	113	11	1	0	0
7041	2020-07-20	А	2	41	77	45	72	42	17	58	12	59	23	7	67	33	47	5	44	24	55	46	38	4	43	3	115	18	1	123	24	1	385	95	6	0	165	20	3	0	133	34	13	0	0	101	51	17	1	0	0	274	325	79	7	0	0	0
7040	2020-07-19	Б	4	2	19	60	66	24	40	39	27	6	58	53	11	44	3	52	4	8	34	20	1	19	42	4	95	14	7	126	41	1	528	130	23	0	124	50	4	1	138	33	5	0	0	105	68	16	4	0	0	277	404	122	9	4	0	0
7039	2020-07-18	Б	1	68	66	47	60	52	27	37	40	76	31	45	48	56	43	24	1	50	34	38	71	16	470	5	232	135	0	131	14	0	329	63	3	0	89	7	0	0	110	16	1	0	0	190	46	4	0	0	0	472	231	36	6	0	0	0
7038	2020-07-17	Б	1	27	1	26	66	69	62	46	16	61	51	78	75	38	67	31	35	24	12	4	7	13	47	9	132	13	1	155	23	1	551	137	9	0	170	25	2	0	187	30	3	1	0	130	63	13	0	0	0	257	313	89	4	1	0	0
7037	2020-07-16	А	2	62	70	79	43	54	48	58	40	71	21	68	24	53	16	9	7	4	33	30	29	3	62	0	108	23	4	109	17	1	387	71	5	0	107	14	4	0	101	18	1	0	0	137	36	9	0	0	0	293	299	57	6	0	0	0
7036	2020-07-15	А	1	45	54	80	23	38	19	76	56	68	24	10	77	21	22	43	33	39	36	34	75	1	35	1	93	15	1	120	27	0	363	70	4	1	120	14	1	0	121	45	5	0	0	110	46	6	0	0	0	299	295	81	5	1	0	0
7035	2020-07-14	А	1	9	26	25	10	38	19	20	54	13	45	52	51	69	40	29	55	1	17	14	67	8	45	15	139	32	3	174	40	3	466	94	17	0	149	14	5	0	152	35	5	1	0	99	82	15	3	0	0	220	463	93	12	1	0	0
7034	2020-07-13	Б	2	46	20	25	3	28	18	77	4	72	68	30	40	42	17	47	45	54	33	48	8	3	56	3	123	15	1	123	14	1	365	87	7	0	117	27	0	0	148	25	4	0	0	73	57	8	0	0	0	312	374	115	9	0	0	0
7033	2020-07-12	Б	1	11	24	37	40	78	61	71	52	20	26	2	60	53	68	79	76	5	23	36	50	2	26	0	80	17	0	110	24	1	295	34	6	0	69	9	1	0	108	18	3	0	0	124	33	2	0	0	0	327	235	64	4	11	0	0
7032	2020-07-11	А	3	39	48	16	13	40	52	1	30	9	37	29	79	24	19	57	2	51	59	50	26	6	34	8	108	23	0	109	15	0	286	77	11	0	111	9	0	0	100	40	5	0	0	128	49	6	0	0	0	287	383	48	5	0	0	0
7031	2020-07-10	Б	1	22	73	4	50	38	79	77	12	76	9	3	66	53	68	74	43	29	28	47	51	6	69	2	89	24	1	118	12	1	301	49	9	0	116	12	2	0	127	31	1	0	0	103	62	12	0	0	0	282	313	50	1	0	0	0
7030	2020-07-09	А	2	1	72	34	77	5	40	35	73	26	17	22	78	21	75	32	29	70	25	50	27	10	47	3	91	34	5	139	25	1	319	83	7	0	166	24	2	0	151	22	2	0	0	112	61	9	0	0	0	294	298	60	8	1	0	0
7029	2020-07-08	А	1	21	22	57	60	12	63	70	75	56	16	52	14	68	40	11	5	13	28	24	30	3	76	1	109	57	8	141	6	0	468	93	13	0	138	36	0	0	206	35	4	0	0	88	69	12	1	0	0	239	340	69	12	0	0	0
7028	2020-07-07	А	1	7	13	25	27	36	60	33	29	54	37	34	6	14	17	47	1	28	2	80	57	11	66	3	123	38	0	141	23	2	544	125	14	0	194	34	8	0	170	34	10	0	0	47	60	13	0	0	0	246	526	117	13	2	0	0
7027	2020-07-06	А	4	75	65	22	52	33	63	67	77	48	66	44	6	72	73	47	15	76	34	59	26	9	38	2	76	20	2	141	11	0	276	67	9	3	98	21	2	0	110	22	3	0	0	162	29	3	0	0	0	389	313	84	8	0	0	0
7026	2020-07-05	Б	1	3	63	42	54	35	74	27	38	57	9	14	65	72	15	46	59	62	19	26	34	5	97	8	96	20	5	161	20	5	358	78	8	0	119	40	0	0	107	28	4	0	0	85	46	8	0	0	0	235	387	90	9	2	0	0
7025	2020-07-04	Б	2	77	24	14	60	29	46	73	57	40	52	66	71	4	27	63	18	44	68	75	43	1	59	1	97	10	6	105	15	1	300	65	1	0	113	11	3	0	141	26	1	0	0	101	35	17	1	0	0	330	339	68	14	0	0	0
7024	2020-07-03	А	1	2	28	27	77	16	79	40	59	34	22	44	7	11	5	6	23	64	26	29	41	3	51	5	137	29	1	205	27	1	479	123	25	0	171	24	13	0	196	52	7	0	0	108	68	22	4	0	0	256	373	86	12	0	0	0
7023	2020-07-02	Б	1	28	26	70	20	17	64	36	24	78	5	80	46	43	11	32	58	16	33	57	55	13	42	5	107	20	1	94	9	0	346	44	9	0	106	18	0	1	150	17	2	0	0	101	44	8	0	0	0	313	278	70	6	0	0	0
7022	2020-07-01	Б	3	8	57	37	64	61	13	21	25	20	67	72	63	28	5	23	9	73	36	29	66	7	50	0	104	36	1	167	36	0	386	132	8	0	140	28	1	0	224	53	3	0	0	63	87	14	0	0	0	311	445	145	15	0	0	0
7021	2020-06-30	А	3	53	32	72	29	76	70	25	40	17	37	61	47	44	36	52	65	78	12	68	63	4	30	1	98	15	2	77	12	0	380	92	8	0	106	11	0	1	143	28	1	0	0	92	49	7	0	0	0	291	412	65	8	1	0	0
7020	2020-06-29	А	3	10	30	1	67	71	35	22	4	64	51	16	18	54	72	58	68	28	2	33	29	14	25	1	112	13	0	83	7	0	385	81	10	0	148	11	0	0	104	21	2	0	0	117	49	9	0	0	0	220	303	85	10	0	0	0
7019	2020-06-28	Б	2	69	37	48	51	62	36	24	29	38	6	30	79	65	49	10	26	39	21	71	53	5	27	0	65	24	0	64	9	0	243	58	3	0	75	12	1	0	117	10	11	0	0	107	70	8	0	0	0	315	323	72	13	0	0	0
7018	2020-06-27	Б	2	65	55	30	19	10	72	26	3	79	48	34	32	54	22	12	61	46	2	45	43	20	28	0	80	15	2	93	6	0	294	75	5	0	107	13	0	0	173	28	2	0	0	118	46	10	0	0	0	336	375	77	11	1	0	0
7017	2020-06-26	Б	4	16	30	4	50	49	18	6	38	21	55	68	56	71	51	37	74	52	19	34	27	7	42	3	134	12	6	101	10	0	343	52	3	0	128	14	1	0	137	20	7	2	0	106	86	4	0	0	0	334	315	69	4	2	0	0
7016	2020-06-25	А	2	72	62	80	79	37	45	73	29	12	69	55	63	33	22	61	15	20	25	34	7	12	56	25	123	33	3	217	34	0	474	133	11	0	172	43	2	0	193	36	6	0	0	85	70	11	1	0	0	254	423	102	10	0	0	0
7015	2020-06-24	Б	1	72	26	6	65	12	78	75	39	3	14	46	28	60	4	18	38	19	71	63	25	5	33	3	99	8	0	115	12	0	385	65	6	0	87	9	1	0	144	39	5	1	0	109	53	9	1	0	0	364	274	77	8	0	0	0
7014	2020-06-23	А	1	27	66	23	56	58	10	3	61	8	70	14	76	71	48	72	6	18	54	59	37	5	55	4	128	36	0	125	12	0	438	106	5	1	168	40	1	0	206	22	4	0	0	111	69	7	1	0	0	239	357	95	10	0	0	0
7013	2020-06-22	Б	4	64	56	55	25	59	72	16	27	63	41	46	76	45	32	65	21	19	53	12	30	5	40	1	89	17	1	85	16	0	269	59	5	0	80	14	0	0	130	35	1	0	0	128	48	8	1	0	0	339	309	50	17	0	0	0
7012	2020-06-21	Б	2	59	3	9	49	27	69	55	70	13	2	71	75	47	16	4	34	54	22	38	24	3	44	1	129	20	0	119	12	1	348	63	15	0	80	12	0	0	138	39	2	0	0	82	88	11	1	0	0	298	309	84	18	0	0	0
7011	2020-06-20	А	2	66	65	70	26	41	29	57	53	32	64	4	19	8	24	25	16	54	44	1	55	8	41	7	105	24	1	147	31	1	365	110	12	1	130	21	1	0	161	31	4	0	0	106	77	8	1	1	0	346	394	96	7	0	0	0
7010	2020-06-19	А	2	78	48	57	51	35	32	12	43	47	7	14	31	15	56	68	53	74	50	27	72	5	43	3	99	18	0	116	28	0	342	62	3	0	77	5	1	0	138	12	1	0	0	140	48	6	0	0	0	385	222	55	9	0	0	0
7009	2020-06-18	А	2	5	46	76	9	60	31	36	15	72	54	28	12	3	25	18	2	44	47	19	50	0	37	3	151	17	0	247	16	1	445	76	18	1	122	15	1	0	201	37	5	0	0	108	73	5	1	0	0	244	407	77	7	2	0	0
7008	2020-06-17	Б	2	52	66	53	31	22	6	80	56	54	68	42	30	43	77	26	41	25	10	35	61	3	36	2	87	17	0	87	12	0	388	44	7	0	64	12	1	0	155	39	0	0	0	146	40	2	10	0	0	342	331	53	15	1	0	0
7007	2020-06-16	А	3	46	5	2	70	19	74	36	48	71	6	26	63	38	67	66	30	22	24	49	53	11	63	2	150	21	2	133	21	1	404	48	10	0	95	13	3	0	154	44	17	0	0	70	42	4	0	0	0	240	291	80	4	1	0	0
7006	2020-06-15	А	1	33	79	41	13	12	39	31	3	22	56	70	19	72	75	29	21	30	45	34	10	12	24	9	82	11	0	153	11	0	322	53	8	0	88	14	0	0	217	40	3	0	0	88	80	2	0	0	0	240	366	58	6	0	0	0
