Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	Кулька номер 6	Кулька номер 7	Кулька номер 8	Кулька номер 9	Кулька номер 10	Кулька номер 11	Кулька номер 12	Кулька номер 13	Кулька номер 14	Кулька номер 15	Кулька номер 16	Кулька номер 17	Кулька номер 18	Кулька номер 19	Кулька номер 20	2х2	2х3	3х3	2х4	3х4	4х4	3х5	4х5	5х5	3х6	4х6	5х6	6х6	4х7	5х7	6х7	7х7	4х8	5х8	6х8	7х8	8х8	0х9	5х9	6х9	7х9	8х9	9х9	0х10	5х10	6х10	7х10	8х10	9х10	10х10
6989	2020-05-29	Б	2	42	58	8	75	10	17	25	63	26	72	9	53	1	31	66	20	34	30	54	14	18	70	9	148	41	13	262	36	3	411	119	17	1	143	59	6	0	153	63	14	0	0	97	96	18	3	0	0	191	374	60	44	0	0	0	Keno_Results__6958-6989
6988	2020-05-28	Б	2	58	42	18	47	9	62	2	19	69	14	30	78	80	64	16	72	27	60	49	15	10	32	2	109	10	0	102	10	0	341	53	14	0	93	10	1	0	100	27	3	0	0	133	57	18	0	0	0	283	286	54	11	0	0	0
6987	2020-05-27	Б	1	1	41	9	17	30	54	76	60	12	55	13	45	73	6	75	22	7	58	27	71	6	39	1	151	22	0	118	14	0	497	47	15	0	192	31	2	0	120	32	5	0	0	122	58	12	2	0	0	279	239	64	19	0	0	0
6986	2020-05-26	Б	3	51	4	57	27	60	42	11	40	20	67	18	1	50	53	6	73	31	2	58	72	8	42	2	119	18	1	114	20	0	330	78	10	0	226	20	1	0	154	24	4	0	0	150	62	8	0	0	0	283	237	95	15	0	0	0
6985	2020-05-25	А	1	48	39	33	62	59	24	42	75	68	77	58	16	28	37	73	70	13	78	49	41	3	45	5	112	16	0	100	13	2	326	44	4	1	78	20	2	0	117	73	6	0	0	141	43	6	0	0	0	255	208	74	4	0	0	0
6984	2020-05-24	Б	3	54	12	63	70	60	7	65	32	29	11	53	22	69	3	15	16	14	21	75	30	5	24	1	115	19	1	87	19	0	335	69	12	0	133	117	0	0	101	8	7	0	0	89	44	7	0	0	0	202	257	66	10	5	0	0
6983	2020-05-23	А	4	53	52	65	68	7	23	18	31	9	14	21	46	72	39	36	50	33	16	64	15	14	53	2	119	17	1	130	16	1	381	67	6	0	188	24	2	0	151	36	3	0	0	95	71	10	1	1	0	243	317	72	9	1	0	0
6982	2020-05-22	А	3	51	29	72	13	31	74	55	48	28	2	11	46	38	65	22	27	71	16	5	69	4	34	5	118	31	17	110	19	2	499	168	15	0	96	29	0	0	132	24	6	1	0	113	56	8	2	0	0	250	320	42	20	0	0	0
6981	2020-05-21	Б	2	52	24	70	22	35	42	68	76	80	67	55	40	23	38	69	11	31	63	28	56	12	55	10	145	29	2	147	23	2	375	126	16	0	147	20	2	0	178	39	11	5	0	105	85	23	1	1	0	526	304	99	11	1	0	0
6980	2020-05-20	Б	4	54	35	39	32	27	57	73	46	25	4	1	62	33	51	61	47	79	6	59	80	3	33	2	78	20	2	102	11	0	308	64	2	0	122	11	0	0	81	16	2	0	0	119	59	8	1	0	0	278	236	43	3	0	0	0
